num_container;tipo;teu;ref_bl;supplier;etd;eta;modal;status;frete;frete_total_cont;frete_cont_por_teu;valor_pi;valor_pi_total_cont;pct_processo_no_cont;pct_frete_pi
APHU1987737;40';2,0;CMI25000561;Everich;;2025-03-10;FCL;Entregue;3075,0;10145,0;5072,5;73791,0;120883,2;0,30310497782158696;0,04167174858722608
APHU1987737;40';2,0;IMFOR00100/25;ANHUI;;2025-03-10;FCL;Entregue;3970,0;10145,0;5072,5;22142,2;120883,2;0,3913257762444554;0,17929564361264913
APHU1987737;40';2,0;WMFIM251050;Ningbo Toprank;;;FCL;Entregue;3100,0;10145,0;5072,5;24950,0;120883,2;0,3055692459339576;0,12424849699398798
APHU2166941;20';1,0;GOC24018-4;Everich;;;nan;Entregue;;0,0;0,0;72192,6;327783,28;;
APHU2166941;20';1,0;GOC24041-1;Ansheng;;2024-01-12;nan;Entregue;;0,0;0,0;68346,0;327783,28;;
APHU2166941;20';1,0;GOC24066-9;YNS;;;nan;Entregue;;0,0;0,0;34229,84;327783,28;;
APHU2166941;20';1,0;GOC24071-3;Everich;;2024-01-12;nan;Entregue;;0,0;0,0;122115,84;327783,28;;
APHU2166941;20';1,0;GOC24074-1;YNS;;;nan;Entregue;;0,0;0,0;30899,0;327783,28;;
APHU2197935;20';1,0;IMFOR00349/24;YNS;2024-01-12;;nan;Entregue;3086,957376201353;11770,070939102701;11770,070939102701;54593,49999999999;125472,5;0,2622717732266012;0,05654441236047063
APHU2197935;20';1,0;IMFOR00349/24;YNS;2024-01-12;;nan;Entregue;1323,1392492350128;11770,070939102701;11770,070939102701;23400,0;125472,5;0,11241557133179719;0,056544412360470635
APHU2197935;20';1,0;IMFOR00349/24;YNS;2024-01-12;;nan;Entregue;703,9779338878594;11770,070939102701;11770,070939102701;12450,000000000002;125472,5;0,05981084884961004;0,05654441236047063
APHU2197935;20';1,0;IMFOR00349/24;YNS;2024-01-12;;nan;Entregue;955,9963797784768;11770,070939102701;11770,070939102701;16907,0;125472,5;0,08122265232934593;0,05654441236047062
APHU2197935;20';1,0;IMP-SEA80244/24;AT Express;;;nan;Entregue;5700,0;11770,070939102701;11770,070939102701;18122,0;125472,5;0,4842791542626457;0,3145348195563404
APHU3607983;20';1,0;CMI26000652;Lanrun;2026-12-02;;FCL;Em Trânsito;1250,0;2045,96;2045,96;95997,2;168556,8;0,6109601360730414;0,013021213118715963
APHU3607983;20';1,0;CMI26000662;Everich;;;FCL;Pronto para Embarque;;2045,96;2045,96;0,0;168556,8;;
APHU3607983;20';1,0;CMI26000667;Lanrun;2026-06-03;2026-12-04;FCL;Booking;4,32;2045,96;2045,96;136,0;168556,8;0,0021114782302684315;0,031764705882352945
APHU3607983;20';1,0;CMI26000671;Everich;2026-06-03;2026-12-04;FCL;Booking;640,11;2045,96;2045,96;58561,2;168556,8;0,3128653541613717;0,010930616175898036
APHU3607983;20';1,0;CMI26000671;Everich;2026-06-03;2026-12-04;FCL;Booking;151,53;2045,96;2045,96;13862,4;168556,8;0,07406303153531839;0,010931007617728533
APHU5408072;20';1,0;CMI25000451;Everich;2025-04-02;2025-06-03;nan;Entregue;1045,09;9775,26;9775,26;18603,0;174003,63999999998;0,10691173431704118;0,056178573348384664
APHU5408072;20';1,0;CMI25000451;Everich;2025-04-02;2025-06-03;nan;Entregue;722,32;9775,26;9775,26;12857,6;174003,63999999998;0,07389266372454543;0,05617844698855152
APHU5408072;20';1,0;CMI25000451;Everich;2025-04-02;2025-06-03;nan;Entregue;2011,7;9775,26;9775,26;35809,04;174003,63999999998;0,20579503767674723;0,05617855156128173
APHU5408072;20';1,0;CMI25000451;Everich;2025-04-02;2025-06-03;nan;Entregue;3158,3;9775,26;9775,26;56219,03999999999;174003,63999999998;0,3230911505167126;0,056178476188849906
APHU5408072;20';1,0;CMI25000451;Everich;2025-04-02;2025-06-03;nan;Entregue;2837,85;9775,26;9775,26;50514,96;174003,63999999998;0,29030941376495356;0,05617840734705125
